transaction_id,timestamp,account_origin,account_destination,amount,currency,transaction_type,device_ip,is_fraud_suspect
a8907926-405f-4182-bf1f-ec56f2b998d1,2026-02-08T04:13:59.198911,UUHZ19654128975946,AICY76459390396992,132.04,BRL,PIX,75.47.229.31,False
427045f6-6500-4cef-a714-b897ac742397,2026-04-17T18:00:21.121727,JJOP02276375268707,QZNY68112007426513,378.98,BRL,PIX,62.10.128.245,False
01c85c97-a9f4-49d6-8569-40e1bca88213,2026-04-02T14:47:37.549930,VCXD45033651024464,NNEQ84460643519262,743.19,BRL,PIX,152.200.6.185,False
37f2c36b-bcb1-439f-a054-f13bab8fe7a8,2026-04-20T10:09:04.805054,KQXW88844842992692,IHXH78661403979180,478.0,BRL,DOC,176.40.150.150,False
2ce994b0-bba4-4b14-a25d-6f05d17edc33,2026-02-17T17:59:45.371702,JOPX13807079641195,NXGO59567071215418,382.26,BRL,TED,148.110.172.226,False
9ea34af7-03ab-4ed8-a718-cbe8034ffc23,2026-03-29T04:46:28.174362,VEDJ73449407883951,LXPN84755614425213,651.13,BRL,CREDITO,147.174.139.247,False
162e3f04-39c1-4102-8adf-5d8c346a6cd9,2026-02-12T11:03:19.707522,FATI10966148639433,KFHF74719251365336,543.63,BRL,DEBITO,46.47.2.249,False
0f3786c5-00ce-4772-b404-0189cebc1358,2026-01-31T07:11:44.670359,FYZL13460990854360,VYLZ53019242222464,177.85,BRL,DOC,88.176.107.15,False
a72cd076-74ef-4a8a-a164-a2e364181943,2026-01-25T03:12:03.847939,HWCZ83603453640964,PXXX12724971566378,333.5,BRL,PIX,50.244.7.124,False
7d6e2185-faca-4946-86be-f56c0a02de16,2026-02-09T09:58:24.898090,UFXV41080316421712,FSAH74897933025681,627.84,BRL,CREDITO,200.236.215.19,False
6a9e2903-db24-4cfb-8493-2c90a6b735c9,2026-03-11T10:38:38.103189,TDID95167683031189,REFB57684956690493,333.64,BRL,CREDITO,13.10.75.242,True
ccf00702-a19c-46e0-8a50-ede8249b5500,2026-02-02T08:32:16.850041,KYYS47382701815102,LOHU06502521636787,692.33,BRL,DOC,168.192.133.74,False
49b5e6f4-a616-4257-9576-e5142bcfe61b,2026-01-26T04:45:13.950402,AXMD29618121206358,PCVF06799455583085,637.27,BRL,TED,7.56.255.61,False
94870029-72f3-495c-b097-818d822ed01d,2026-02-13T15:55:38.572746,FMJZ96428113075314,RVVF21827079567282,693.47,BRL,DEBITO,171.153.60.227,False
319e6979-94e4-4e46-b59e-4eb4cb2f79f6,2026-02-21T16:50:30.671039,UXUH14421688723245,OBSC52004380556065,512.46,BRL,DEBITO,111.26.48.206,False
e0f010c0-239f-4d73-a0d3-118456916437,2026-02-01T06:41:54.837855,ONMO83807857006637,CYTN74731079927812,806.31,BRL,PIX,113.24.190.73,False
db9120fe-f85a-41ca-8e68-df0725224acf,2026-02-25T21:14:41.584163,VOJO67382233398217,GUYM24405059632418,902.98,BRL,TED,188.168.117.237,True
27f25733-ab84-4f9e-b0d8-338afa0feda0,2026-03-14T18:39:05.039933,XOUZ66104330301646,UOGT92573653048705,902.54,BRL,TED,105.172.240.235,False
44dbc9a2-7312-4fe3-994a-04b3bc34ace2,2026-03-15T05:33:51.291982,OVGT35392862417726,XOQO26723486735448,684.69,BRL,PIX,112.94.18.203,False
414e87be-1545-4f7d-a8bf-d3d39cf3acdd,2026-04-09T07:50:17.689473,OISE10450896367230,OWQF73493589773942,778.86,BRL,TED,67.25.138.152,False
550e089f-8d95-47ec-bddf-67dcc9d7e56b,2026-01-30T23:28:34.441806,QHRO02350635201700,ZIRZ51581669605167,848.53,BRL,DEBITO,125.24.163.246,False
be231fda-d3a0-4bbd-9d25-731e6f0703dc,2026-04-24T03:08:34.505514,FTWN39571321034449,UDWZ92577256522933,396.84,BRL,CREDITO,163.34.4.64,False
559c1d7c-a3a2-42f8-902e-51ce5aaee92a,2026-02-04T18:20:12.595458,EKPB27653841019650,OPIY25662777304385,193.49,BRL,CREDITO,25.244.74.82,False
2bc76a9a-ba96-4277-967d-f0aa4a13616b,2026-01-02T03:54:11.807699,WYJM82879970676193,CCQO39486103612649,378.32,BRL,PIX,22.78.179.10,False
2c816712-c348-4b4c-9e69-ebf2cbd6a0aa,2026-04-19T21:54:09.426738,RJJA42654372773498,FGWN08985406689801,706.84,BRL,TED,59.6.122.150,False
56b04df0-32f5-4492-b1b0-bcf08cfbe3d1,2026-02-15T14:15:06.440089,RFMD22490217645998,GUTT18765359372220,465.41,BRL,CREDITO,54.47.221.19,False
b53e455c-ac00-479d-a8ca-7311795dc124,2026-01-27T00:12:19.793271,IYGP27245052238957,PLHP76383057652599,205.84,BRL,PIX,43.123.6.204,False
4afc23db-d8d8-488c-8f49-8155b5d4f181,2026-04-13T05:07:28.151134,SRJC38215732398875,WYWK97955681630211,926.85,BRL,CREDITO,148.223.134.213,False
83148dbc-6058-4112-b547-d9e7e7a41ce6,2026-03-20T11:04:18.921257,JRRD62479431253865,DEPX23492998822330,931.71,BRL,DEBITO,47.222.177.20,False
05f1c123-3ccb-4ec4-8a76-6bb82e7c3381,2026-04-22T13:47:33.375053,DYNN00045477315662,HZKA58581168567940,231.12,BRL,TED,89.74.152.232,False
3f77011f-0832-4d3e-b0af-78f151f3d0c3,2026-01-13T17:25:28.589501,ZUEU05109485036599,BFDB57247309071627,251.04,BRL,TED,121.74.160.3,False
ff1e8bde-13da-4162-8d6c-417857c49fce,2026-04-06T07:48:30.196976,FCMP19866916803713,EGSZ70901360774661,508.93,BRL,CREDITO,26.148.180.185,False
6769fb2a-0be4-42db-8b65-9e8bafb00df9,2026-03-26T17:23:53.879346,TKGG81345369268711,DJXQ22751262558793,937.39,BRL,CREDITO,153.82.77.51,False
dff9c688-8d35-478f-849f-a38631b19c4b,2026-02-05T13:40:24.393536,CLKZ88742726800080,QPSH19111471828161,801.91,BRL,DEBITO,44.45.148.133,False
2f8fa4e1-9209-40fa-bde9-577f7b1688d3,2026-02-07T03:12:21.725507,PQWA95579110531980,AZGI58310935600135,529.17,BRL,TED,210.74.7.95,False
d5331ca0-aa69-45df-9080-f4b20c6d6bba,2026-01-20T21:40:10.040053,UGUD16309945623419,WFNN24121362269360,637.26,BRL,TED,77.17.190.58,False
f460a22b-4232-46a0-b292-310c25deed1a,2026-03-26T20:56:21.419404,SNIY91756312741490,SZYI62787050751984,177.44,BRL,PIX,52.187.1.58,False
2e4b5610-e204-4e40-8755-bc140eb481b0,2026-01-11T14:00:35.631996,UTSM70903204948619,WCFY80483815734796,436.19,BRL,TED,208.85.106.103,False
7632386e-76fc-4cfe-a5e6-cff073bf63b6,2026-01-14T21:20:29.144371,VCCF50841996097917,DTXB78383663966523,291.01,BRL,TED,61.169.171.104,False
8b76ff38-1cd1-43ec-9fd3-eccb0da1a751,2026-02-28T15:34:02.574167,NCUH50853626354187,JMAN26916312851099,105.98,BRL,TED,59.254.6.206,False
c37d5d17-7f59-4521-8c9b-ae99e50af31e,2026-02-06T14:49:30.316150,YTSG46198980715409,ZDQL41767456055356,864.66,BRL,TED,161.111.176.102,False
bb2277c8-5cab-4c74-9071-9e665fe21dbc,2026-02-14T19:01:06.891453,PJEF86482785325480,UGFR97229951422151,76.45,BRL,DEBITO,93.34.127.147,False
700ffb9e-2dab-412c-85c6-5a25eb153f72,2026-03-19T05:27:27.346247,RNYC31939808223051,OQDT12542402148271,287.54,BRL,DOC,54.215.77.58,False
ce8bcf97-c325-4fe0-9d32-fbac0675dc47,2026-01-21T10:57:37.571592,GRFR77970756912891,LSTC37339141491376,999.98,BRL,CREDITO,133.49.75.40,False
47a8f5bd-d92c-4dec-83d7-dbaf21e90a1a,2026-03-10T04:48:04.181046,QOKH91820882639248,GUQI88740506136476,456.54,BRL,DOC,44.78.26.200,False
aed128f7-4dcd-4043-af77-cfa9500f6a89,2026-04-07T12:13:25.594154,YOHL03049649224273,PWYS31260901041891,528.96,BRL,DOC,191.116.247.124,False
8d9288af-fd22-4bcb-90ea-5fdcf6e533b8,2026-02-26T17:00:06.381159,EMNV77084912275925,NBUV04006076846575,438.59,BRL,PIX,78.207.142.103,False
318c1f7b-94a9-4734-848e-5d3ce1d80ee7,2026-01-05T06:01:00.946321,CWKP03851984463974,GHMH67458391242472,189.22,BRL,DOC,164.184.243.207,False
1ac26e26-a85a-4ed0-ac62-7b7390b29a18,2026-01-07T19:54:09.198546,FVOL57353029683486,DJAL79042431079031,364.84,BRL,PIX,70.92.234.243,False
7ebaac2a-982b-4614-9fce-d490da0e3f37,2026-03-04T16:49:56.176244,BVDD93380147293255,MMZT37835050850090,425.05,BRL,CREDITO,1.167.255.37,False
f7bba37f-2a8c-4892-a0a5-fbefe2dba90f,2026-01-05T23:53:20.913021,ROYR63679281622245,DLZP23067318501398,970.88,BRL,PIX,82.193.3.45,False
ed8a44dc-e499-42fb-a649-59a535b377e2,2026-01-19T09:03:49.686601,IIGI29408495283524,VCWN19414612112063,847.52,BRL,TED,67.224.212.248,True
c80df627-d419-4cdc-837a-9a1cc14877af,2026-03-24T10:31:51.801423,UYMX34522757315371,ZDPF41329969078620,914.12,BRL,DOC,147.92.78.53,False
41d73154-b6ec-4dfd-bf28-c4b8894410e3,2026-01-14T15:35:47.127048,LRSV54170312607261,LGQU34165745539168,10.09,BRL,TED,109.240.92.255,False
a4d611fc-3b0e-4463-ab7a-0cbd659896be,2026-01-10T17:28:28.125034,RMQN71979246718073,NBGM59419961993672,983.59,BRL,TED,68.89.103.197,False
8bcb16e6-d1fd-4eec-ae1a-36b68003f7be,2026-02-12T17:46:40.691343,EMUS03206180236782,AZQA22310547749946,337.01,BRL,CREDITO,29.41.244.163,False
efd0eb8a-6b7d-425b-b8bb-a3b2759681fd,2026-01-06T18:44:18.626068,YYNG67812950457953,CTOD86678392829904,392.54,BRL,DOC,201.75.252.162,False
f91e8e73-12b2-4dec-bb67-eedc9d21f1bb,2026-03-06T07:54:49.135588,OKPS54724494739724,HLVC83646372999454,154.57,BRL,TED,149.141.111.108,False
ef580821-4178-4076-92aa-35d087c51355,2026-01-15T02:56:30.852572,GSYS17785322783984,WFTO54253384935665,120.76,BRL,PIX,69.2.184.170,False
1b529f47-69cb-4a6d-8ed0-ddb4377c242e,2026-01-04T09:13:25.914151,GWUB51685590798682,BRFS99530828623895,895.54,BRL,TED,203.234.18.237,False
2b653701-af7b-4584-a72c-4e3538252492,2026-01-12T18:49:49.497163,FADJ66291310273261,NOJS39535875634091,39.96,BRL,DOC,34.72.52.6,False
85ba8530-72d0-458a-baa1-2c23415e91b0,2026-04-23T15:56:54.184026,PXPA40896810368019,WSCM75810854884480,108.63,BRL,CREDITO,41.236.138.153,False
066da761-cafb-4f25-b31b-c8cb23e47a30,2026-04-15T11:53:07.083984,WXWR99962049421888,COSC89611737905148,908.22,BRL,CREDITO,77.163.9.137,False
d7e1f1c7-1427-406d-ab17-9589430fbd11,2026-02-23T10:47:18.346694,YFQP88806891736034,OHVX41930891026982,521.41,BRL,TED,28.95.102.8,False
d01919fd-164b-4791-a4e4-e119972f6c5b,2026-03-08T19:43:34.513157,LAHT64508394564849,PFOP84198893070517,748.13,BRL,TED,145.250.212.207,False
10a3e6e8-de58-4a4c-803a-7f8c1ec8ccac,2026-01-13T19:25:27.384788,GHJP84563686194316,GJOW17208651570210,501.17,BRL,PIX,200.51.251.199,False
c2cf2a1f-ac01-4d8d-9b8d-2cc6a772a4bc,2026-04-15T01:25:52.089985,CWWE35896473013573,YTFS67221598576033,544.61,BRL,TED,65.89.3.80,False
2cd0d966-6640-447a-814b-087f5c3d01b8,2026-02-06T16:03:29.813584,JFOU91816344442368,OLCI44545787777190,185.58,BRL,CREDITO,11.131.231.79,False
